airbnb_id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
16718716,"Luxury 2 BR Apartment in Washington, DC",3915621,Christopher,"Dupont Circle, Connecticut Avenue,K Street",38.90692923,-77.0360647,"Entire home,apt",750,1,1,0.27,1,0
16427840,"Charming studio, best neighborhood in DC",32985913,Caroline,"Dupont Circle, Connecticut Avenue,K Street",38.9152355,-77.04391945,"Entire home,apt",550,1,0,0.0,1,66
15870714,2BR Modern Apt Walking Distance from the Mall,27460742,Marlee,"Dupont Circle, Connecticut Avenue,K Street",38.91061379,-77.03587765,"Entire home,apt",1000,3,0,0.0,1,89
1878529,Heart of Dupont Beautiful Studio,74778,Maya,"Dupont Circle, Connecticut Avenue,K Street",38.91553882,-77.04218284,"Entire home,apt",155,1,80,3.18,2,146
13545005,Sharing a Cozy Condo in a beautiful neighborhood,77940058,Faten,"Dupont Circle, Connecticut Avenue,K Street",38.91254495,-77.03929965,Shared room,45,1,59,6.02,1,354
2436595,Dupont Studio - 2 blocks from the Metro,8160186,"Steve, Tracy, Alan And Katch","Dupont Circle, Connecticut Avenue,K Street",38.91280677,-77.03943918,"Entire home,apt",165,3,14,0.36,44,177
13413787,Lovely 2 Bedroom Apartment in the Heart of Dupont,46794484,Jeremy,"Dupont Circle, Connecticut Avenue,K Street",38.90909971,-77.04769061,"Entire home,apt",349,1,46,5.13,1,120
16756108,Basement homestay in sweet location.,3904027,Georgina,"Dupont Circle, Connecticut Avenue,K Street",38.91382791,-77.04110809,Private room,125,2,1,0.28,2,112
11315134,Discover DC from Dupont Circle,59171644,Rachel,"Dupont Circle, Connecticut Avenue,K Street",38.90795043,-77.0461035,"Entire home,apt",77,3,5,0.48,1,24
10921785,"Chic designer-rustic, 14th & U Neighborhood, Metro",56607502,Julian & Lucrecia,"Dupont Circle, Connecticut Avenue,K Street",38.91521662,-77.03569831,Private room,90,1,78,7.13,2,0
12166924,"#1 - Apt for business travel - Dupont,U Street!",15044614,Sanjay,"Dupont Circle, Connecticut Avenue,K Street",38.91824598,-77.03543462,Private room,130,1,15,1.22,5,356
14789510,Spacious Private Bedroom Available,4227555,Jennifer,"Dupont Circle, Connecticut Avenue,K Street",38.91468937,-77.04089331,Private room,109,2,12,1.52,1,99
7939196,Charming Basement Suite in Dupont!,22611225,Daniela,"Dupont Circle, Connecticut Avenue,K Street",38.908382200000005,-77.04787215,Private room,177,3,10,0.53,2,281
238669,Dupont 1BD in best DC location!,1251308,Nick,"Dupont Circle, Connecticut Avenue,K Street",38.9097386,-77.03912702,"Entire home,apt",179,2,81,1.2,1,295
14788837,Private Cozy Room on DuPont,31184993,Maria,"Dupont Circle, Connecticut Avenue,K Street",38.90851478,-77.0476058,Private room,55,5,0,0.0,2,286
13215892,DuPont Circle Studio,21766327,Kara,"Dupont Circle, Connecticut Avenue,K Street",38.91267133,-77.04171772,"Entire home,apt",550,1,0,0.0,1,0
8701300,"Unparalleled view, private balcony!",5402299,Sandy,"Dupont Circle, Connecticut Avenue,K Street",38.91807869,-77.03632823,"Entire home,apt",110,1,7,0.37,1,0
16674846,Inauguration apartment in the heart of Dupont!,603389,Amandine,"Dupont Circle, Connecticut Avenue,K Street",38.90807876,-77.04776316,"Entire home,apt",800,3,0,0.0,1,89
17701565,STUNNING in DUPONT! Parking Included!,75021791,Steph,"Dupont Circle, Connecticut Avenue,K Street",38.91528823,-77.0368056,"Entire home,apt",250,2,4,2.55,3,37
10626658,5 Beds + Patio in the Center of DC - Dupont Circle,54846861,Taft,"Dupont Circle, Connecticut Avenue,K Street",38.90874496,-77.04582195,"Entire home,apt",185,1,107,6.7,4,137
14589185,Perfect 1 bedroom home in VERY central DC,2070536,Joel,"Dupont Circle, Connecticut Avenue,K Street",38.91094417,-77.03511043,"Entire home,apt",200,7,0,0.0,3,170
17964221,"Dupont Private Cozy Suite,Huge Roof Deck-Pics Soon",511136,Tommy,"Dupont Circle, Connecticut Avenue,K Street",38.90954521,-77.04569368,Private room,99,1,0,0.0,5,360
6038468,"1B,1B Dupont Apt w,private entrance",29462405,Jeff,"Dupont Circle, Connecticut Avenue,K Street",38.91666752,-77.03661378,"Entire home,apt",150,1,62,2.53,1,73
9970635,Corner 1-br in Classic Dupont Bldg,51235200,Robert,"Dupont Circle, Connecticut Avenue,K Street",38.9155825,-77.03928842,"Entire home,apt",135,2,13,0.78,1,351
9413337,Sunny 1 Bedroom - Dupont Circle,8639197,Aaron And Micah,"Dupont Circle, Connecticut Avenue,K Street",38.91531064,-77.04318892,"Entire home,apt",114,2,2,0.15,1,0
2761388,Dupont's Best 1 BR Apt - Walk to Dupont Metro!,14123150,Richard And Mary,"Dupont Circle, Connecticut Avenue,K Street",38.91349814,-77.04158112,"Entire home,apt",143,2,122,3.26,2,133
16456318,"Excellent apartment in Adams Morgan,Dupont",43332564,Luke,"Dupont Circle, Connecticut Avenue,K Street",38.91692095,-77.03871051,Private room,700,1,0,0.0,1,89
3580823,U Street Corridor NY-style apt,18036928,Bjarne,"Dupont Circle, Connecticut Avenue,K Street",38.91784325,-77.03802753,"Entire home,apt",150,5,2,0.06,1,0
2989576,2BR apartment in great neighborhood in Dupont.,5131,Daniel,"Dupont Circle, Connecticut Avenue,K Street",38.91362996,-77.04163219,"Entire home,apt",300,3,1,0.27,1,12
17964535,"Dupont Deluxe Suite,Huge Roof Deck - Pics Soon!",511136,Tommy,"Dupont Circle, Connecticut Avenue,K Street",38.90937835,-77.04575320000001,Private room,99,1,0,0.0,5,360
5959565,Entire Dupont Circle Condo Unit,3873893,Feras,"Dupont Circle, Connecticut Avenue,K Street",38.90921268,-77.04597895,"Entire home,apt",129,3,65,2.58,2,276
